句子                               关键词
人工智能在未来的应用,人工智能 未来 应用
著名中国内地的生物学家,中国 内地 生物学家
互联网新兴产业相关发展,互联网 新兴产业 发展
共享单车对经济发展的影响,共享单车 经济发展 影响
中国的新能源汽车,中国 新能源 汽车
美国的人工智能与自动化,美国 人工智能 自动化
世博会中国馆的科技,世博会 中国馆 科技
人工智能的展望和社会影响,人工智能 展望 社会影响
第四次工业革命的科技,工业革命 四次 科技
北京中关村特色小镇,北京 中关村 特色小镇
南京大学创业平台,南京大学 创业 平台
工业政策对工业发展的影响,工业政策 工业发展 影响
高校师资队伍建设,高校 师资队伍 建设
IT行业与服务行业的收入,IT行业 服务行业 收入
中国创新公司的发展,中国 创新公司 发展
物联网产业化的竞争力,物联网 产业化 竞争力
大学生人才培养计划,大学生 人才培养 计划
娱乐产业相关文化,娱乐 产业 文化
大学生创业现状,大学生 创业 现状
移动互联网服务行业,移动 互联网 服务行业
科技创新对综合国力的影响,科技创新 综合国力 影响
中国汽车行业发展趋势,中国 汽车行业 发展趋势
自动驾驶技术的创新,自动驾驶 技术 创新
